,name,ratings,no_of_ratings,discount_price,actual_price,brand,size,color,resolution,type
654,INVANTER Smart TV 43 INCH Frameless Android WiFi Voice Remote (2022 Model)- SR 1,,,22490.0,36990.0,INVANTER,43.0,,,Smart TV
655,INVANTER Smart TV 55 INCH Frameless Android WiFi Voice Remote (2022 Model)- SR 1,,,59990.0,60990.0,INVANTER,55.0,,,Smart TV
656,INVANTER Smart TV 55 INCH (102cm) Frameless Android WiFi (2022 Model)-SR 4,,,36490.0,60990.0,INVANTER,55.0,,,Smart TV
657,INVANTER Smart TV 32 INCH Frameless Android WiFi Voice Remote (2022 Model)- SR 1,,,13490.0,21990.0,INVANTER,32.0,,,Smart TV
658,INVANTER Smart TV 43 INCH (102cm) Frameless Android WiFi (2022 Model)-SR 4,,,22490.0,36990.0,INVANTER,43.0,,,Smart TV
661,IQ 215 cm (85 inches) 4K OLED Frameles Smart Android TV IQFL85ST (Black) with Google Assistant,,,,,Generic,85.0,BLACK,4K,Smart TV
662,IQ 165 cm (65 inches) 4K OLED Frameles Smart Android TV IQFL65ST (Black) with Dolby,,,,,Generic,65.0,BLACK,4K,Smart TV
663,IQ 190 cm (75 inches) 4K OLED Frameles Smart Android TV IQFL75ST (Black) with Voice Control,,,,,Generic,75.0,BLACK,4K,Smart TV
664,IQ 139 cm (55 inches) 4K OLED Full HD Frameles Smart Android TV IQFL55ST (Black) with Dolby Atmos and Voice Control,,,,,Generic,55.0,BLACK,4K,Smart TV
665,IQ 127 cm (50 inches) Frameless 4K Full HD Smart Android TV IQFL50ST (Black) with Dolby Atmos and Google Assistant,,,,,Generic,50.0,BLACK,4K,Smart TV
666,IQ 110 cm (43 inches) Frameless 4K Full HD Smart LED Android TV IQFL43ST (Black) with Dolby Atmos,,,,,Generic,43.0,BLACK,4K,Smart TV
667,IQ 100 cm (40 inches) Full HD LED Smart Android TV (Black),,,,,Generic,40.0,BLACK,FULL HD,Smart TV
668,IWIS 43 inches NXTGEN Android Smart Full HD LED TV,,,,,Generic,43.0,,FULL HD,Smart TV
669,IWIS 24 inches NXTGEN Android Smart HD LED TV with A+ Grade ZeroDot IPS Panel,,,,,Generic,24.0,,HD,Smart TV
670,IWIS 32 inches NXTGEN Android Smart HD LED TV with A+ Grade ZeroDot IPS Panel,,,,,Generic,32.0,,HD,Smart TV
671,IWIS 43 inches Android Smart 4K UHD LED TV,,,,,Generic,43.0,,4K,Smart TV
672,IWIS 32 inches NXTGEN Android Smart HD LED TV,,,,,Generic,32.0,,HD,Smart TV
673,Limeberry 127 cm (50 inches) 4K Ultra HD Android Smart LED TV (Black),,,,,Generic,50.0,BLACK,4K,Smart TV
674,RB Mobile and Electronics 80 cm (32 inches) HD Ready Certified LED TV 32HDX7XPRO (Black),,,,,Generic,32.0,BLACK,HD,LED TV
675,RB Mobile and Electronics 98 cm (40 inches) Full HD Certified Android LED TV 40FHDX7XPRO (Black),,,,,Generic,40.0,BLACK,FULL HD,Android TV
676,Limeberry 165 cm (65 inches) 4K Ultra HD Android Smart LED TV (Black),,,,,Generic,65.0,BLACK,4K,Smart TV
677,RB Mobile and Electronics 108 cm (43 Inches) Crystal 7 Series 4K Ultra HD Smart LED TV 43AU7600 (Black) (2022 Model),,,,,Generic,43.0,BLACK,4K,Smart TV
678,Limeberry 109 cm (43 inches) Full HD Android Smart LED TV (Black),,,,,Generic,43.0,BLACK,FULL HD,Smart TV
679,Limeberry 140 cm (55 inches) 4K Ultra HD Android Smart LED TV (Black),,,,,Generic,55.0,BLACK,4K,Smart TV
680,RB Mobile and Electronics 80 cm (32 inches) HD Ready LED TV ATHY32HDB18W (Black),,,,,Generic,32.0,BLACK,HD,LED TV
681,IQ 80 cm (32 inches) Full HD Ready LED Frameless Smart Android TV IQFL32ST (Black),5.0,1,,,Generic,32.0,BLACK,FULL HD,Smart TV
683,80 cm HD TV(32 inches) Smart LED TV 32LM563BPTC (Dark Iron Gray),,,,,Generic,32.0,GRAY,HD,Smart TV
